[13/Oct/2023 01:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:30:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:30:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 03:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 03:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:30:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:30:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:00:02] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:30:02] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:30:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:30:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:00:02] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:30:02] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 03:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 03:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 03:00:02] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:30:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:30:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:30:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:30:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 03:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 03:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:30:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:30:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:00:02] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 01:30:02] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:00:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:30:00] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:00:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PUT","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
[13/Oct/2023 02:30:01] "DEBUG" "ils_event_consumer" "KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={"header":{"traceId":"54b850b1-b646-4ef8-b8d6-817a3dc319bc","id":"625505b6-24c8-4326-a96d-4ef5ffde3511","organisationId":"b6c197fa-c1d2-43ec-930f-57daf8c7aa9b","timestamp":"2023-10-13T14:23:47.355603218Z"},"body":{"action":{"carrier":{"laneAddress":"S001.M003.02.01","carrierActionType":"CARRIER_ACTION_PICK","locationType":"LOCATION_SECONDARY","carrierId":"9502b9cf-1833-a7cd-b3a6-646e05e26239","currentCount":2}}}}]
